day,date,weight
1,21/11,66.3
2,22/11,65.6
3,23/11,66.1
4,24/11,66.5
5,25/11,66.8
6,26/11,66.6
7,27/11,66
8,28/11,65.8
9,29/11,66.2
10,30/11,66.1
11,1/12,
12,2/12,66.5
13,3/12,66.1
14,4/12,65.8
15,5/12,65.8
16,6/12,66.3
17,7/12,
18,8/12,
19,9/12,
20,10/12,66.8
21,11/12,66.3
22,12/12,66.6
23,13/12,66.7
24,14/12,66.4
25,15/12,67.1
26,16/12,66.9
27,17/12,66.9
28,18/12,66.9
29,19/12,
30,20/12,66.5
31,21/12,
32,22/12,66.8
33,23/12,66.6
34,24/12,
35,25/12,
36,26/12,
37,27/12,
38,28/12,
39,29/12,
40,30/12,
41,31/12,
42,1/1,
43,2/1,
44,3/1,
45,4/1,
46,5/1,
47,6/1,
48,7/1,
49,8/1,
50,9/1,
51,10/1,
52,11/1,
53,12/1,
54,13/1,
55,14/1,
56,15/1,
57,16/1,
58,17/1,
59,18/1,
60,19/1,
61,20/1,
62,21/1,
63,22/1,
64,23/1,
65,24/1,
66,25/1,
67,26/1,
68,27/1,
69,28/1,
70,29/1,
71,30/1,
72,31/1,
73,1/2,
